unidade;ano;mes;media_permanencia
CHPB;2022;1;127,58333333333333
CHPB;2022;2;106,85185185185185
CHPB;2022;3;146,125
CHPB;2022;4;89,02631578947368
CHPB;2022;5;87,13157894736842
CHPB;2022;6;63,71111111111111
CHPB;2022;7;72,2
CHPB;2022;8;85,86111111111111
CHPB;2022;9;80,56756756756756
CHPB;2022;10;82,58974358974359
CHPB;2022;11;60,87234042553192
CHPB;2022;12;70,85
CHPB;2023;1;70,21951219512195
CHPB;2023;2;70,87179487179488
CHPB;2023;3;57,88
CHPB;2023;4;56,93478260869565
CHPB;2023;5;47,05084745762712
CHPB;2023;6;59,744680851063826
CHPB;2023;7;58,95918367346939
CHPB;2023;8;58,84090909090909
CHPB;2023;9;82,0
CHPB;2023;10;52,86
CHPB;2023;11;72,97222222222223
CHPB;2023;12;51,270833333333336
CHPB;2024;1;54,76190476190476
CHPB;2024;2;40,69090909090909
CHPB;2024;3;69,14285714285714
CHPB;2024;4;51,673469387755105
CHPB;2024;5;63,609756097560975
CHPB;2024;6;57,86046511627907
CHPB;2024;7;53,234042553191486
CHPB;2024;8;56,44186046511628
CHPB;2024;9;54,266666666666666
CHPB;2024;10;42,107142857142854
CHPB;2024;11;49,659574468085104
CHPB;2024;12;40,29824561403509
CHPB;2025;1;50,92857142857143
CHPB;2025;2;50,44186046511628
CHPB;2025;3;49,48979591836735
CHPB;2025;4;37,15094339622642
CHPB;2025;5;41,97872340425532
CHPB;2025;6;39,14545454545455
CHPB;2025;7;47,07142857142857
CHPB;2025;8;45,47826086956522
CHPB;2025;9;60,9
CHPB;2025;10;48,23255813953488
CHPB;2025;11;60,121212121212125
CHPB;2025;12;48,3
CSSFA;2022;1;44,90909090909091
CSSFA;2022;2;72,38461538461539
CSSFA;2022;3;52,56521739130435
CSSFA;2022;4;36,3
CSSFA;2022;5;63,45
CSSFA;2022;6;50,46153846153846
CSSFA;2022;7;43,0625
CSSFA;2022;8;65,8695652173913
CSSFA;2022;9;53,77777777777778
CSSFA;2022;10;57,391304347826086
CSSFA;2022;11;47,04347826086956
CSSFA;2022;12;40,851851851851855
CSSFA;2023;1;92,15384615384616
CSSFA;2023;2;90,25
CSSFA;2023;3;31,545454545454547
CSSFA;2023;4;50,72222222222222
CSSFA;2023;5;66,3125
CSSFA;2023;6;50,25
CSSFA;2023;7;72,0
CSSFA;2023;8;47,18181818181818
CSSFA;2023;9;61,23529411764706
CSSFA;2023;10;40,916666666666664
CSSFA;2023;11;69,0
CSSFA;2023;12;51,473684210526315
CSSFA;2024;1;76,42857142857143
CSSFA;2024;2;119,4
CSSFA;2024;3;49,13333333333333
CSSFA;2024;4;56,416666666666664
CSSFA;2024;5;49,416666666666664
CSSFA;2024;6;103,5
CSSFA;2024;7;64,4090909090909
CSSFA;2024;8;39,4
CSSFA;2024;9;66,25
CSSFA;2024;10;49,32142857142857
CSSFA;2024;11;64,89473684210526
CSSFA;2024;12;64,1
CSSFA;2025;1;55,666666666666664
CSSFA;2025;2;56,35294117647059
CSSFA;2025;3;92,15384615384616
CSSFA;2025;4;62,611111111111114
CSSFA;2025;5;69,36842105263158
CSSFA;2025;6;83,05882352941177
CSSFA;2025;7;75,1
CSSFA;2025;8;53,46153846153846
CSSFA;2025;9;82,93333333333334
CSSFA;2025;10;75,0
CSSFA;2025;11;57,21052631578947
CSSFA;2025;12;64,61111111111111
CSSI;2022;1;7,52
CSSI;2022;2;6,670588235294118
CSSI;2022;3;10,333333333333334
CSSI;2022;4;9,610526315789473
CSSI;2022;5;11,208333333333334
CSSI;2022;6;11,520547945205479
CSSI;2022;7;10,973333333333333
CSSI;2022;8;11,426666666666666
CSSI;2022;9;9,223529411764705
CSSI;2022;10;11,246575342465754
CSSI;2022;11;11,375
CSSI;2022;12;12,295081967213115
CSSI;2023;1;12,477611940298507
CSSI;2023;2;11,806451612903226
CSSI;2023;3;11,794520547945206
CSSI;2023;4;12,5
CSSI;2023;5;13,911764705882353
CSSI;2023;6;11,936708860759493
CSSI;2023;7;11,657894736842104
CSSI;2023;8;12,6125
CSSI;2023;9;15,597014925373134
CSSI;2023;10;16,642857142857142
CSSI;2023;11;18,451612903225808
CSSI;2023;12;12,616279069767442
CSSI;2024;1;16,41891891891892
CSSI;2024;2;11,514563106796116
CSSI;2024;3;13,396039603960396
CSSI;2024;4;13,978260869565217
CSSI;2024;5;12,22429906542056
CSSI;2024;6;14,616279069767442
CSSI;2024;7;16,41025641025641
CSSI;2024;8;15,329545454545455
CSSI;2024;9;15,797297297297296
CSSI;2024;10;18,465753424657535
CSSI;2024;11;17,205128205128204
CSSI;2024;12;15,977011494252874
CSSI;2025;1;19,485714285714284
CSSI;2025;2;19,38235294117647
CSSI;2025;3;15,804878048780488
CSSI;2025;4;18,25
CSSI;2025;5;20,60655737704918
CSSI;2025;6;21,044117647058822
CSSI;2025;7;21,33823529411765
CSSI;2025;8;18,942857142857143
CSSI;2025;9;20,880597014925375
CSSI;2025;10;21,112676056338028
CSSI;2025;11;22,158730158730158
CSSI;2025;12;22,444444444444443
HAC;2022;1;7,561576354679803
HAC;2022;2;7,654054054054054
HAC;2022;3;9,116751269035532
HAC;2022;4;8,545893719806763
HAC;2022;5;6,976470588235294
HAC;2022;6;6,6498054474708175
HAC;2022;7;7,248979591836735
HAC;2022;8;7,281746031746032
HAC;2022;9;9,116751269035532
HAC;2022;10;8,11111111111111
HAC;2022;11;9,189743589743589
HAC;2022;12;7,6305220883534135
HAC;2023;1;9,75
HAC;2023;2;7,830357142857143
HAC;2023;3;6,818791946308725
HAC;2023;4;7,655038759689923
HAC;2023;5;7,577358490566038
HAC;2023;6;7,169675090252707
HAC;2023;7;7,804428044280443
HAC;2023;8;7,7272727272727275
HAC;2023;9;6,96113074204947
HAC;2023;10;7,651079136690647
HAC;2023;11;8,27659574468085
HAC;2023;12;7,818867924528302
HAC;2024;1;7,587786259541985
HAC;2024;2;6,580756013745704
HAC;2024;3;6,899022801302932
HAC;2024;4;6,302752293577981
HAC;2024;5;7,209003215434084
HAC;2024;6;7,525
HAC;2024;7;7,439862542955327
HAC;2024;8;6,450617283950617
HAC;2024;9;7,402730375426621
HAC;2024;10;6,978461538461539
HAC;2024;11;6,8969696969696965
HAC;2024;12;7,315254237288135
HAC;2025;1;6,977987421383648
HAC;2025;2;7,618181818181818
HAC;2025;3;7,464396284829721
HAC;2025;4;7,23404255319149
HAC;2025;5;7,265243902439025
HAC;2025;6;7,6568627450980395
